price,amount
102473.55000000,5.87728000
102473.56000000,0.00046000
102473.96000000,0.00012000
102474.43000000,0.00006000
102474.44000000,0.00006000
102474.53000000,0.00006000
102474.54000000,0.00006000
102474.56000000,0.00006000
102474.72000000,0.00012000
102474.73000000,0.96199000
102474.74000000,0.00010000
102474.75000000,0.00012000
102474.76000000,1.26614000
102474.77000000,0.27519000
102474.81000000,0.00010000
102474.82000000,0.00012000
102474.83000000,0.38502000
102474.84000000,0.33716000
102474.87000000,0.00070000
102474.88000000,0.00064000
102474.91000000,0.00019000
102475.00000000,0.00047000
102475.26000000,0.00006000
102475.31000000,0.00007000
102475.37000000,0.00235000
102475.60000000,0.00050000
102475.82000000,0.00006000
102475.87000000,0.00088000
102475.98000000,0.00081000
102476.00000000,0.00025000
102476.05000000,0.00011000
102476.20000000,0.06421000
102476.27000000,0.00008000
102476.31000000,0.00101000
102476.55000000,0.00016000
102476.57000000,0.00016000
102476.59000000,0.00005000
102476.62000000,0.00073000
102476.63000000,0.00018000
102476.71000000,0.00161000
102476.77000000,0.10441000
102476.90000000,0.00073000
102476.92000000,0.00007000
102477.02000000,0.00006000
102477.26000000,0.00022000
102477.50000000,0.00006000
102477.70000000,0.00146000
102477.73000000,0.00006000
102477.87000000,0.00025000
102478.09000000,0.00044000
